sku,product_name,brand,category,pack_size
SKU0001,Operative scalable help-desk,Northfield,home_care,2
SKU0002,Business-focused explicit frame,Glimmer,home_care,2
SKU0003,Progressive scalable archive,PureLeaf,home_care,2
SKU0004,Profound content-based throughput,PureLeaf,oral_care,12
SKU0005,Self-enabling contextually-based task-force,Glimmer,home_care,4
SKU0006,Cross-platform radical system engine,Cascade Home,home_care,1
SKU0007,Down-sized needs-based Graphic Interface,Everstate,personal_care,2
SKU0008,Intuitive systemic website,Everstate,home_care,2
SKU0009,Innovative encompassing software,Glimmer,personal_care,6
SKU0010,Total system-worthy hierarchy,Everstate,oral_care,6
SKU0011,Cross-platform national paradigm,PureLeaf,home_care,4
SKU0012,Multi-channeled client-server access,Everstate,personal_care,1
SKU0013,Devolved multi-state forecast,Everstate,oral_care,2
SKU0014,Multi-layered zero-defect matrix,Everstate,personal_care,4
SKU0015,Open-source global complexity,Everstate,personal_care,6
SKU0016,Customer-focused didactic collaboration,Cascade Home,home_care,4
SKU0017,Profit-focused directional core,Glimmer,personal_care,2
SKU0018,Realigned reciprocal solution,Cascade Home,personal_care,6
SKU0019,Progressive national structure,Northfield,home_care,1
SKU0020,Reactive tangible system engine,PureLeaf,home_care,2
SKU0021,Customizable intangible knowledgebase,Glimmer,personal_care,6
SKU0022,Compatible bifurcated capacity,Everstate,personal_care,1
SKU0023,Ameliorated mission-critical hardware,Glimmer,home_care,4
SKU0024,Integrated system-worthy hierarchy,Glimmer,oral_care,4
SKU0025,Devolved leadingedge policy,Northfield,personal_care,12
SKU0026,Programmable well-modulated Graphical User Interface,Everstate,oral_care,12
SKU0027,Enhanced tertiary framework,PureLeaf,oral_care,12
SKU0028,Assimilated value-added capability,PureLeaf,home_care,4
SKU0029,Face-to-face clear-thinking solution,Everstate,oral_care,2
SKU0030,Digitized system-worthy emulation,Northfield,home_care,4
SKU0031,Integrated clear-thinking database,PureLeaf,home_care,1
SKU0032,De-engineered attitude-oriented interface,Cascade Home,oral_care,2
SKU0033,Team-oriented well-modulated toolset,Glimmer,personal_care,1
SKU0034,Customizable asynchronous adapter,Everstate,oral_care,4
SKU0035,Vision-oriented mission-critical system engine,Northfield,personal_care,6
SKU0036,Optional 6thgeneration customer loyalty,Glimmer,oral_care,12
SKU0037,Customer-focused 5thgeneration utilization,Northfield,home_care,2
SKU0038,Switchable multimedia parallelism,Cascade Home,home_care,2
SKU0039,Centralized methodical capability,Glimmer,home_care,1
SKU0040,Function-based 6thgeneration architecture,Northfield,oral_care,1
SKU0041,Innovative static access,Everstate,oral_care,4
SKU0042,Versatile bandwidth-monitored toolset,PureLeaf,home_care,2
SKU0043,Decentralized real-time database,Glimmer,home_care,4
SKU0044,Reverse-engineered dedicated contingency,Glimmer,oral_care,1
SKU0045,Synchronized grid-enabled algorithm,PureLeaf,personal_care,12
SKU0046,Cross-group client-server synergy,Cascade Home,oral_care,12
SKU0047,Grass-roots optimal hardware,Northfield,oral_care,4
SKU0048,Multi-channeled cohesive middleware,Cascade Home,oral_care,12
SKU0049,Vision-oriented upward-trending pricing structure,Glimmer,oral_care,12
SKU0050,Front-line motivating open system,PureLeaf,personal_care,12
SKU0051,Cloned bandwidth-monitored paradigm,Cascade Home,oral_care,2
SKU0052,Virtual 24/7 moderator,Northfield,home_care,12
SKU0053,Extended transitional core,PureLeaf,oral_care,12
SKU0054,Horizontal composite system engine,Everstate,home_care,2
SKU0055,Public-key 24hour success,PureLeaf,home_care,12
SKU0056,Cross-platform didactic middleware,PureLeaf,oral_care,2
SKU0057,Triple-buffered methodical hierarchy,Northfield,home_care,1
SKU0058,Total optimizing contingency,PureLeaf,home_care,2
SKU0059,Organic systematic benchmark,Northfield,home_care,1
SKU0060,Enterprise-wide heuristic implementation,Cascade Home,personal_care,2
SKU0061,Optimized didactic migration,Northfield,home_care,1
SKU0062,Focused incremental budgetary management,Glimmer,personal_care,12
SKU0063,Virtual foreground capability,Glimmer,oral_care,2
SKU0064,Persistent bifurcated model,Cascade Home,home_care,12
SKU0065,Devolved modular task-force,PureLeaf,oral_care,6
SKU0066,Multi-lateral tertiary forecast,Northfield,oral_care,6
